GPU_Utilization (%),Power_Consumption (kW),Machine_Temperature (°C),Ambient_Temperature (°C),Humidity (%),Season,Active_Servers,Cooling_Method,Water_Consumption (L/hr)
62,100,67,28,52,Autumn,41,Liquid,600
49,100,54,26,55,Autumn,28,Air,522
56,100,62,30,51,Spring,35,Liquid,600
71,100,74,32,81,Monsoon,47,Liquid,600
70,100,69,30,52,Spring,48,Liquid,600
72,102,80,35,43,Summer,64,Evaporative,600
76,100,75,32,84,Monsoon,57,Evaporative,600
47,100,61,27,59,Spring,32,Air,600
69,100,70,31,76,Monsoon,43,Liquid,600
84,105,85,37,40,Summer,83,Evaporative,600
71,100,77,32,81,Monsoon,59,Evaporative,600
44,100,60,29,48,Spring,30,Air,600
69,100,69,28,74,Monsoon,45,Liquid,600
75,100,73,35,40,Summer,49,Liquid,600
84,113,81,33,40,Summer,64,Evaporative,600
68,100,66,31,53,Autumn,39,Liquid,600
43,100,49,22,55,Winter,21,Air,437
75,100,75,33,40,Summer,55,Liquid,600
93,102,79,39,40,Summer,70,Evaporative,600
47,100,59,29,55,Spring,28,Air,600
66,100,66,29,49,Spring,41,Liquid,600
56,100,69,33,81,Monsoon,41,Liquid,600
71,100,74,33,74,Monsoon,57,Evaporative,600
75,100,80,35,43,Summer,62,Evaporative,600
59,100,68,30,51,Spring,45,Liquid,600
94,114,85,38,40,Summer,72,Evaporative,600
69,100,77,34,77,Monsoon,60,Evaporative,600
42,100,51,25,65,Winter,19,Air,432
66,100,67,32,73,Monsoon,43,Liquid,600
100,105,86,38,30,Summer,88,Evaporative,600
37,100,53,23,54,Winter,24,Air,469
91,125,85,39,40,Summer,81,Evaporative,600
44,100,62,29,60,Spring,35,Air,600
41,100,54,26,59,Autumn,28,Air,563
90,100,82,35,37,Summer,60,Evaporative,600
54,100,60,30,67,Monsoon,34,Air,600
74,100,82,36,46,Summer,61,Evaporative,600
58,100,63,30,76,Monsoon,35,Air,600
72,100,72,30,42,Autumn,46,Liquid,600
57,100,68,30,72,Monsoon,42,Liquid,600
63,100,65,27,45,Autumn,38,Liquid,600
56,100,64,28,55,Spring,41,Liquid,600
95,107,82,39,35,Summer,75,Evaporative,600
59,100,70,29,71,Monsoon,45,Liquid,600
80,100,78,34,47,Summer,58,Evaporative,600
33,100,48,23,65,Winter,20,Air,428
73,105,78,36,38,Summer,63,Evaporative,600
71,100,69,33,52,Autumn,45,Liquid,600
66,100,74,33,40,Summer,53,Liquid,600
100,124,88,40,32,Summer,82,Evaporative,600
60,100,69,31,74,Monsoon,42,Liquid,600
43,100,55,25,55,Autumn,23,Air,516
98,104,85,40,31,Summer,79,Evaporative,600
69,100,70,32,52,Spring,47,Liquid,600
57,100,67,29,49,Autumn,41,Liquid,600
47,100,54,27,52,Autumn,28,Air,540
83,100,78,33,82,Monsoon,54,Evaporative,600
42,100,59,29,51,Spring,29,Air,600
57,100,70,33,48,Summer,48,Liquid,600
69,103,71,32,48,Summer,49,Liquid,600
77,100,81,36,46,Summer,58,Evaporative,600
71,100,67,32,81,Monsoon,43,Liquid,600
67,100,71,34,46,Summer,55,Liquid,600
41,100,48,22,65,Winter,21,Air,403
55,100,64,30,73,Monsoon,37,Air,600
89,111,87,41,31,Summer,80,Evaporative,600
85,106,78,34,44,Summer,61,Evaporative,600
81,100,74,33,75,Monsoon,54,Evaporative,600
68,100,76,31,43,Summer,54,Liquid,600
83,119,84,40,37,Summer,70,Evaporative,600
87,100,80,37,41,Summer,61,Evaporative,600
66,100,73,30,77,Monsoon,47,Liquid,600
69,100,69,32,49,Autumn,49,Liquid,600
77,100,73,35,42,Summer,55,Liquid,600
62,100,67,29,56,Autumn,39,Liquid,600
76,102,75,35,50,Summer,54,Liquid,600
51,100,61,27,72,Monsoon,32,Air,600
48,100,55,25,52,Autumn,24,Air,503
43,100,55,25,51,Autumn,31,Air,558
57,100,69,32,53,Summer,48,Liquid,600
60,100,66,33,80,Monsoon,45,Liquid,600
67,100,71,31,52,Spring,47,Liquid,600
48,100,58,27,53,Spring,30,Air,600
83,106,83,39,39,Summer,77,Evaporative,600
76,100,81,33,45,Summer,63,Evaporative,600
41,100,56,28,51,Autumn,27,Air,579
72,103,76,32,77,Monsoon,54,Evaporative,600
52,100,65,30,46,Autumn,37,Liquid,600
52,100,57,25,56,Autumn,27,Air,513
53,100,55,25,50,Autumn,24,Air,518
62,100,67,31,77,Monsoon,40,Liquid,600
64,100,75,35,45,Summer,52,Liquid,600
62,100,66,30,43,Summer,46,Liquid,600
86,110,76,33,82,Monsoon,60,Evaporative,600
54,100,66,31,79,Monsoon,43,Liquid,600
76,100,79,31,86,Monsoon,56,Evaporative,600
76,109,81,36,39,Summer,61,Evaporative,600
38,100,56,25,57,Autumn,26,Air,517
63,100,63,29,76,Monsoon,36,Air,600
86,112,85,41,33,Summer,78,Evaporative,600
81,105,83,38,40,Summer,67,Evaporative,600
58,100,60,25,53,Spring,31,Air,600
48,100,56,23,55,Winter,26,Air,481
92,133,84,40,33,Summer,78,Evaporative,600
73,100,77,38,44,Summer,63,Liquid,600
71,100,70,31,48,Spring,49,Liquid,600
52,100,57,27,49,Spring,27,Air,600
80,118,84,38,34,Summer,72,Evaporative,600
42,100,46,22,58,Winter,20,Air,392
65,100,69,33,80,Monsoon,46,Liquid,600
93,129,84,38,35,Summer,82,Evaporative,600
42,100,53,23,56,Winter,25,Air,485
48,100,55,22,58,Winter,27,Air,485
85,100,79,32,87,Monsoon,61,Evaporative,600
57,100,65,30,76,Monsoon,39,Liquid,600
72,100,77,34,44,Summer,58,Evaporative,600
74,100,74,33,79,Monsoon,49,Liquid,600
64,100,70,32,82,Monsoon,49,Liquid,600
82,100,77,35,79,Monsoon,56,Evaporative,600
79,100,79,35,43,Summer,58,Evaporative,600
54,100,64,30,54,Autumn,42,Liquid,600
85,120,84,41,35,Summer,77,Evaporative,600
62,100,70,31,43,Autumn,48,Liquid,600
53,100,66,30,50,Spring,41,Liquid,600
62,100,69,29,44,Autumn,46,Liquid,600
51,100,64,27,69,Monsoon,35,Air,600
69,100,71,33,41,Summer,51,Liquid,600
72,110,76,31,87,Monsoon,56,Evaporative,600
68,100,70,33,43,Autumn,49,Liquid,600
66,100,64,31,68,Monsoon,40,Air,600
79,100,79,39,44,Summer,71,Evaporative,600
48,100,55,24,57,Autumn,29,Air,535
44,100,48,22,55,Winter,21,Air,428
85,100,77,34,79,Monsoon,60,Evaporative,600
75,100,82,36,46,Summer,61,Evaporative,600
59,100,67,26,48,Autumn,42,Liquid,600
64,100,67,28,46,Autumn,39,Liquid,600
87,120,85,38,37,Summer,75,Evaporative,600
85,110,83,39,44,Summer,73,Evaporative,600
57,100,68,27,48,Autumn,38,Liquid,600
80,109,76,33,83,Monsoon,60,Evaporative,600
74,107,80,35,43,Summer,65,Evaporative,600
85,112,78,38,47,Summer,63,Liquid,600
79,108,79,36,40,Summer,63,Evaporative,600
79,104,77,32,46,Summer,57,Liquid,600
44,100,48,24,60,Winter,19,Air,406
67,100,73,34,77,Monsoon,50,Liquid,600
35,100,52,22,56,Winter,17,Air,419
58,100,61,26,48,Spring,31,Air,600
69,100,72,33,75,Monsoon,49,Liquid,600
44,100,55,23,53,Autumn,25,Air,537
75,100,77,33,77,Monsoon,59,Evaporative,600
75,107,79,36,42,Summer,63,Evaporative,600
71,105,75,36,76,Monsoon,59,Evaporative,600
80,105,78,36,79,Monsoon,57,Evaporative,600
87,100,78,38,38,Summer,63,Evaporative,600
61,100,67,32,50,Spring,46,Liquid,600
95,109,84,38,37,Summer,73,Evaporative,600
56,100,63,29,51,Spring,39,Liquid,600
39,100,52,25,55,Winter,28,Air,470
90,114,79,35,37,Summer,68,Evaporative,600
53,100,61,27,75,Monsoon,34,Air,600
48,100,55,24,59,Winter,26,Air,496
57,100,66,27,48,Autumn,37,Liquid,600
73,100,72,35,47,Summer,49,Liquid,600
61,100,67,30,72,Monsoon,42,Liquid,600
50,100,58,26,55,Spring,28,Air,600
55,100,61,29,54,Spring,35,Air,600
68,100,65,28,75,Monsoon,45,Liquid,600
51,100,58,28,57,Spring,32,Air,600
52,100,61,27,56,Spring,32,Air,600
47,100,53,23,60,Winter,24,Air,497
72,100,70,29,48,Summer,47,Liquid,600
62,100,66,30,49,Summer,47,Liquid,600
87,123,83,39,35,Summer,72,Evaporative,600
52,100,57,26,53,Autumn,26,Air,570
53,100,66,27,56,Autumn,41,Liquid,600
90,131,86,39,33,Summer,78,Evaporative,600
40,100,53,22,55,Winter,22,Air,496
54,100,57,27,49,Autumn,28,Air,573
39,100,46,20,55,Winter,17,Air,381
78,102,77,34,38,Summer,63,Evaporative,600
66,100,64,31,72,Monsoon,38,Air,600
44,100,58,29,51,Spring,33,Air,600
49,100,54,27,50,Autumn,28,Air,563
92,110,86,37,35,Summer,79,Evaporative,600
76,100,71,36,49,Summer,55,Liquid,600
82,100,75,32,42,Summer,54,Liquid,600
42,100,48,20,53,Winter,19,Air,367
62,100,72,31,45,Autumn,51,Liquid,600
54,100,67,26,47,Autumn,39,Liquid,600
42,100,55,23,52,Autumn,23,Air,504
61,100,68,29,53,Spring,43,Liquid,600
87,117,83,36,43,Summer,67,Evaporative,600
89,102,79,33,41,Summer,65,Evaporative,600
60,100,67,26,49,Autumn,39,Liquid,600
91,109,80,37,36,Summer,70,Evaporative,600
49,100,61,28,71,Monsoon,32,Air,600
57,100,67,29,47,Summer,44,Liquid,600
51,100,60,29,48,Spring,27,Air,600
73,100,77,35,40,Summer,58,Evaporative,600
67,100,66,29,76,Monsoon,39,Liquid,600
80,102,74,33,43,Summer,52,Liquid,600
64,100,70,33,52,Autumn,51,Liquid,600
66,100,63,29,67,Monsoon,37,Air,600
67,100,66,31,54,Autumn,40,Liquid,600
62,100,66,29,53,Summer,43,Liquid,600
51,100,57,26,52,Autumn,24,Air,522
92,113,85,38,43,Summer,71,Evaporative,600
64,100,70,30,47,Spring,47,Liquid,600
50,100,61,28,52,Spring,30,Air,600
96,116,89,39,37,Summer,85,Evaporative,600
89,118,87,39,30,Summer,87,Evaporative,600
57,100,65,29,78,Monsoon,40,Liquid,600
67,100,72,33,44,Summer,55,Liquid,600
45,100,57,29,54,Spring,27,Air,600
55,100,68,30,52,Autumn,41,Liquid,600
44,100,57,25,54,Autumn,23,Air,538
64,100,72,32,78,Monsoon,47,Liquid,600
64,100,74,33,78,Monsoon,53,Liquid,600
98,130,86,41,36,Summer,87,Evaporative,600
65,100,66,28,48,Spring,36,Liquid,600
73,100,75,33,77,Monsoon,55,Evaporative,600
60,100,66,28,54,Spring,38,Liquid,600
73,100,70,29,46,Summer,42,Liquid,600
58,100,66,31,55,Autumn,42,Liquid,600
45,100,55,26,52,Autumn,27,Air,557
83,100,76,33,78,Monsoon,59,Evaporative,600
61,100,66,31,78,Monsoon,41,Liquid,600
87,100,80,34,45,Summer,57,Liquid,600
44,100,61,26,52,Spring,31,Air,600
59,100,64,30,74,Monsoon,36,Air,600
52,100,64,27,51,Autumn,40,Liquid,600
75,100,69,30,46,Autumn,48,Liquid,600
99,106,87,41,37,Summer,82,Evaporative,600
48,100,50,23,57,Winter,18,Air,437
68,100,69,31,45,Autumn,45,Liquid,600
55,100,65,28,45,Spring,36,Liquid,600
75,100,76,33,84,Monsoon,59,Evaporative,600
34,100,53,23,54,Winter,27,Air,485
75,106,78,33,82,Monsoon,57,Evaporative,600
58,100,65,31,47,Spring,37,Liquid,600
61,100,68,30,73,Monsoon,42,Liquid,600
56,100,67,29,49,Autumn,39,Liquid,600
37,100,48,23,55,Winter,17,Air,404
61,100,65,28,73,Monsoon,34,Air,600
54,100,64,31,51,Autumn,41,Liquid,600
72,104,79,32,80,Monsoon,55,Evaporative,600
79,100,81,33,42,Summer,60,Evaporative,600
44,100,60,26,52,Spring,29,Air,600
74,100,72,34,47,Summer,53,Liquid,600
51,100,58,28,52,Autumn,28,Air,553
53,100,54,26,56,Autumn,30,Air,566
63,100,65,28,50,Spring,39,Liquid,600
52,100,64,28,74,Monsoon,33,Air,600
71,100,66,30,45,Summer,47,Liquid,600
67,100,70,31,81,Monsoon,41,Liquid,600
76,100,70,30,78,Monsoon,52,Liquid,600
56,100,62,27,74,Monsoon,39,Air,600
50,100,56,23,55,Autumn,26,Air,516
98,109,86,41,37,Summer,81,Evaporative,600
58,100,63,26,73,Monsoon,38,Air,600
42,100,53,24,58,Autumn,27,Air,515
82,108,80,35,35,Summer,67,Evaporative,600
70,100,67,32,81,Monsoon,47,Liquid,600
43,100,52,25,51,Winter,28,Air,470
63,100,68,28,50,Spring,45,Liquid,600
66,100,69,28,50,Spring,48,Liquid,600
83,100,78,35,84,Monsoon,57,Evaporative,600
69,100,64,30,54,Autumn,44,Liquid,600
85,100,77,37,42,Summer,59,Liquid,600
94,119,82,37,40,Summer,75,Evaporative,600
40,100,54,27,53,Autumn,27,Air,563
65,100,67,32,80,Monsoon,46,Liquid,600
91,104,83,36,39,Summer,71,Evaporative,600
41,100,54,25,51,Autumn,25,Air,567
57,100,64,27,54,Autumn,42,Liquid,600
